,Post Date,Link,Posts,Number of comments,Number of likes,Image Link,Video(True or False),Interactions,Hashtags,Username,Name,Category,Total Posts,Followers,Following
0,2023 Aug 02 04:31:13,https://www.instagram.com/p/CvbOyELNGHt/,@DELOLA celebrates our first #NationalSpritzDay … 🩵💙why don’t we celebrate all week!? #DelolaLife #HappySummer,7033,522975,https://instagram.fosl1-1.fna.fbcdn.net/v/t51.2885-15/364232268_4241447672746398_665338627683680057_n.jpg?stp=c0.440.1136.1136a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fosl1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=WKGB6tCBvgsAX8A_mu7&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAz2rq1bHAeU95dGvu9SjZ60tqwDwrfebB6raGbWz7Kqw&oe=64DEADB5&_nc_sid=bc0c2c,True,530008,"NationalSpritzDay, DelolaLife, HappySummer",jlo,Jennifer Lopez,Artist,752,250659153,1343
1,2023 Jul 04 03:41:08,https://www.instagram.com/p/CuQd72ixx8s/,@Delola surprise pop-in at Sag Harbor Liquor Store! ✨ Get some before it’s gone for your July 4 BBQ’s … and share your party pics with me using #DelolaLife!!! ❤️🤍💙,11029,-1,https://instagram.fosl1-1.fna.fbcdn.net/v/t51.2885-15/357534970_6798367433528690_2432387640361485932_n.jpg?stp=c0.456.1174.1174a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fosl1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=56tir5r-gikAX-W7kNF&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCH_Y3woh5mw9c5x-Xz5nCXHCmeNSE0Wwe6KHvkl0Q_zw&oe=64DF11B6&_nc_sid=bc0c2c,True,11028,DelolaLife,jlo,Jennifer Lopez,Artist,752,250659153,1343
2,2023 Jul 01 00:56:33,https://www.instagram.com/p/CuIc3_7sCPZ/,@Delola weekend!! 🩵🩵 #DelolaLife,2473,-1,https://instagram.fosl1-1.fna.fbcdn.net/v/t51.2885-15/357153040_806782131020167_2982388104850998577_n.jpg?stp=c0.280.720.720a_dst-jpg_e15_s640x640&_nc_ht=instagram.fosl1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=WQJTra01xKsAX8cFwz3&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDqkDJTtXrDvu9KYOURXhgr1jCsu9Zq0LFhJrkXQRSPNA&oe=64DEA22F&_nc_sid=bc0c2c,True,2472,DelolaLife,jlo,Jennifer Lopez,Artist,752,250659153,1343
3,2023 Jun 19 19:17:08,https://www.instagram.com/p/CtrhNIzp8nr/,@Delola Dads for the win! ✨ We hope everyone had a great Father’s Day! #DelolaLife,2209,-1,https://instagram.fosl1-1.fna.fbcdn.net/v/t51.2885-15/354501708_624357056296181_5265503727261575893_n.jpg?stp=c0.242.619.619a_dst-jpg_e15&_nc_ht=instagram.fosl1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=T3F1C3IML5IAX-GNaCm&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDDNVaEzmJ6IsiG4tB0uL3JGGw4yqBZZwfBBUISyWau_Q&oe=64DF1A14&_nc_sid=bc0c2c,True,2208,DelolaLife,jlo,Jennifer Lopez,Artist,752,250659153,1343
4,2023 Jun 11 21:32:15,https://www.instagram.com/p/CtXKeSrPsJv/,Brunch Time ♥️ Feeling Bella Berry #SundayFunday #DelolaLife @Delola,6124,629681,https://instagram.fosl1-1.fna.fbcdn.net/v/t51.2885-15/353457241_1876607616073311_2224854390072464184_n.jpg?stp=c0.180.1440.1440a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fosl1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=UfCDbgrmVz0AX8gxKeK&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDoYWovvaFRgCc4uWtV4pjS3r1XXFjUe7DPIM04WnUEMQ&oe=64E231BC&_nc_sid=bc0c2c,False,635805,"SundayFunday, DelolaLife",jlo,Jennifer Lopez,Artist,752,250659153,1343
5,2023 Jun 10 19:02:46,https://www.instagram.com/p/CtUUFRFMB89/,Thank you!!! to everyone who has been watching #TheMother and helped make it a top 10 movie of all time on @Netflix and hitting #1 worldwide 4 weeks in a row! Thank you so much for watching ✨Celebrate with me this weekend! #Cheers #DelolaLife 🥂 @delola @egt239,10762,-1,https://instagram.fosl1-1.fna.fbcdn.net/v/t51.2885-15/326712627_581353230792401_2971167737750443344_n.jpg?stp=c0.186.480.480a_dst-jpg_e15&_nc_ht=instagram.fosl1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=uyHuUYJNMikAX-0lJD9&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCiLFMSnC4AbH3o88GTkW1w6_XVLIUCmi0MaV9f4XvlFQ&oe=64DEB9DB&_nc_sid=bc0c2c,True,10761,"TheMother, 1, Cheers, DelolaLife",jlo,Jennifer Lopez,Artist,752,250659153,1343
6,2023 Jun 01 02:29:22,https://www.instagram.com/p/Cs7KY5JOCGi/,On Wednesdays we Drink Paloma Pink! 💕🩷 @Delola #DelolaLife #PalomaRosa,1552,-1,https://instagram.fosl1-1.fna.fbcdn.net/v/t51.2885-15/350624830_642413714001234_8138569333332389090_n.jpg?stp=c0.839.2161.2161a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fosl1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=FZr4XJN_pnUAX9kM07o&edm=APU89FABAAAA&ccb=7-5&oh=00_AfANXHbFXoq4Exr3gfO9D0sjGWMEQ4DuSlOUeCk-vt8g1Q&oe=64DE964E&_nc_sid=bc0c2c,True,1551,"DelolaLife, PalomaRosa",jlo,Jennifer Lopez,Artist,752,250659153,1343
7,2023 May 29 01:57:26,https://www.instagram.com/p/CszlsONPZM2/,"Summer is finally here ☀️ @Delola is the official drink of the summer … so sit back, open a bottle, pour over ice & enjoy! 🩵 XOXO, Lola #DelolaLife 📸 @gregswalesart",12676,1743994,https://instagram.fosl1-1.fna.fbcdn.net/v/t51.2885-15/349314214_6296551323754630_6746043471327580631_n.jpg?stp=c0.180.1440.1440a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fosl1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=c7J5ydqigZ8AX8JV5rE&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCEFcfM9Z1gBYZV_vFnGFZBv52O8bS-OPGXKgsaQ3L30w&oe=64E1BB65&_nc_sid=bc0c2c,False,1756670,DelolaLife,jlo,Jennifer Lopez,Artist,752,250659153,1343
8,2023 May 28 23:45:28,https://www.instagram.com/p/CszRlbVNrTi/,New unreleased scene from #TheMother ✨ Enjoy it this #MemorialDayWeekend… @netflix @egt239 @nikicaro @gaelgarciab #JosephFiennes 📸 @lacarba,2599,-1,https://instagram.fosl1-1.fna.fbcdn.net/v/t51.2885-15/350116244_990809432360121_6734094320459967717_n.jpg?stp=c0.787.2026.2026a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fosl1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=3ckVrQex_pwAX8gvusY&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAZszIvPTgGnetJh7dlfU7Z-XoxGVCtVJz541qkopGhzw&oe=64DEF6AF&_nc_sid=bc0c2c,True,2598,"TheMother, MemorialDayWeekend, JosephFiennes",jlo,Jennifer Lopez,Artist,752,250659153,1343
9,2023 May 26 23:47:32,https://www.instagram.com/p/CsuM0mDNf8y/,A lil #MemorialDayWeekend treat for you … a special extended flashback scene from #TheMother!!! @netflix @nikicaro @gaelgarciab @egt239📷: @lacarba,7686,1074149,https://instagram.fosl1-1.fna.fbcdn.net/v/t51.2885-15/349054376_1001843790967187_3923392721375356988_n.jpg?stp=c0.524.1352.1352a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fosl1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=B6OurpWKYusAX9lQsWu&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAW0UtDeYA35crUThbS9hSKUXmIOAd-Jniqzv_hjZBsaA&oe=64DEB0D9&_nc_sid=bc0c2c,True,1081835,"MemorialDayWeekend, TheMother",jlo,Jennifer Lopez,Artist,752,250659153,1343
