,Post Date,Link,Posts,Number of comments,Number of likes,Image Link,Video(True or False),Interactions,Hashtags,Username,Name,Category,Total Posts,Followers,Following
0,2023 Aug 16 05:05:46,https://www.instagram.com/p/Cv_WBMAM7XV/,Dear Ben … Happy Birthday. I love you!,5803,449909,https://instagram.fsvg1-1.fna.fbcdn.net/v/t51.2885-15/367426642_238966451909547_4738382414370865971_n.jpg?stp=c0.196.504.504a_dst-jpg_e15&_nc_ht=instagram.fsvg1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=QIcrirj6YKwAX8pm8v8&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC8UgzI1UgnXNp1Z_F_2gM6BJ61x7mDlHErJunVH0g3Aw&oe=64DDCE66&_nc_sid=bc0c2c,True,455712,,jlo,Jennifer Lopez,Artist,752,250638167,1342
1,2023 Aug 14 17:42:16,https://www.instagram.com/p/Cv7iwX4LIck/,"No filter. ALL. ME. #ThisIsMeNow at 54, glowing and happy @JLoBeauty",2785,-1,https://instagram.fsvg1-1.fna.fbcdn.net/v/t51.2885-15/366941628_617930310451829_1725637421564450770_n.jpg?stp=c0.279.720.720a_dst-jpg_e15_s640x640&_nc_ht=instagram.fsvg1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=1WkY4hz0UFUAX8OCJoo&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBElEJpPisn4UHHVmk0zB5Sm7HkxJ_Nhpq97XLXZYzF3A&oe=64DE61DE&_nc_sid=bc0c2c,True,2784,ThisIsMeNow,jlo,Jennifer Lopez,Artist,752,250638167,1342
2,2023 Aug 12 02:32:35,https://www.instagram.com/p/Cv0xAAmr5C_/,Spaghetti ravioli 🍝 🇮🇹,9474,512130,https://instagram.fsvg1-1.fna.fbcdn.net/v/t51.2885-15/366441033_1015224936170481_7115703527081721074_n.jpg?stp=c0.393.1011.1011a_dst-jpg_e15_s640x640&_nc_ht=instagram.fsvg1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=HxZpNp_WTHsAX-r_8sQ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB1UezL1GViekztpEJ2anWA11KqJMg-Ya4wIb6jB8I35g&oe=64DDE1AB&_nc_sid=bc0c2c,True,521604,,jlo,Jennifer Lopez,Artist,752,250638167,1342
3,2023 Aug 11 01:26:56,https://www.instagram.com/p/CvyFBlmPeat/,Back in my element 📸: @lacarba,3328,-1,https://instagram.fsvg1-1.fna.fbcdn.net/v/t39.30808-6/365283662_18405815419037720_6340897740286185304_n.jpg?stp=c167.0.666.666a_dst-jpg_e15_s640x640&_nc_ht=instagram.fsvg1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=1_WxLiFEUOcAX_zae5I&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfCmRKDCi8FmzL-zg-KPUcxSnGNnr1jKDnPRLl1H-1rKKg&oe=64E17702&_nc_sid=bc0c2c,False,3327,,jlo,Jennifer Lopez,Artist,752,250638167,1342
4,2023 Aug 02 04:31:13,https://www.instagram.com/p/CvbOyELNGHt/,@DELOLA celebrates our first #NationalSpritzDay … 🩵💙why don’t we celebrate all week!? #DelolaLife #HappySummer,7009,521444,https://instagram.fsvg1-1.fna.fbcdn.net/v/t51.2885-15/364232268_4241447672746398_665338627683680057_n.jpg?stp=c0.440.1136.1136a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fsvg1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=RaZu7U1LqLkAX9_owll&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDLR3sXOqK_EYbs_i056zS--KwUImQo1JgcU5Kk-IWv-Q&oe=64DE04F5&_nc_sid=bc0c2c,True,528453,"NationalSpritzDay, DelolaLife, HappySummer",jlo,Jennifer Lopez,Artist,752,250638167,1342
5,2023 Aug 01 02:12:15,https://www.instagram.com/p/CvYaQuzPlM9/,Happy Monday 💙 Have a great week everyone!,17586,1631825,https://instagram.fsvg1-1.fna.fbcdn.net/v/t39.30808-6/363433458_18403910308037720_4107150423099094911_n.jpg?stp=c0.180.1440.1440a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fsvg1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=zbYeZu-X0gIAX9JMNG8&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfDxhKSIbgsHCMm02jsQju71dyg6m3gNNkXija_3izogIQ&oe=64E228FC&_nc_sid=bc0c2c,False,1649411,,jlo,Jennifer Lopez,Artist,752,250638167,1342
6,2023 Jul 29 00:58:28,https://www.instagram.com/p/CvQivhjtFjd/,"@DELOLA is keeping my birthday week going strong … cheers to the weekend, bella berry style ❤️ Happy Friday!",10969,832093,https://instagram.fsvg1-1.fna.fbcdn.net/v/t51.2885-15/364040945_319430293755988_5124207421367576302_n.jpg?stp=c0.194.500.500a_dst-jpg_e15&_nc_ht=instagram.fsvg1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=pAx9OUOHIFgAX8r_yAK&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDCv2KUFIoFTXplspbozq070UlYq-3W1i315HIRWyd0QA&oe=64DE6648&_nc_sid=bc0c2c,True,843062,,jlo,Jennifer Lopez,Artist,752,250638167,1342
7,2023 Jul 26 03:20:51,https://www.instagram.com/p/CvJFWAKJbaN/,Birthday mood…all month!! Always a good day when Lola comes to play… #OnTheJLo: Birthday Edition coming soon,12280,1531024,https://instagram.fsvg1-1.fna.fbcdn.net/v/t39.30808-6/362283823_18402788257037720_2610081514999083660_n.jpg?stp=c0.180.1440.1440a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fsvg1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=a3yDhHuO4wIAX8CYt6u&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfDVLZLOpBYONxjMDaIo8-SHmx_Nr3Gm9UL04wAHM792yA&oe=64E14D20&_nc_sid=bc0c2c,False,1543304,OnTheJLo,jlo,Jennifer Lopez,Artist,752,250638167,1342
8,2023 Jul 23 21:50:39,https://www.instagram.com/p/CvDV9yWSe-x/,Getting ready to celebrate 🎂🎉 @intimissimiofficial📸 @normanjeanroy@hairbylorenzomartin @maryphillips @tombachik @marielhaenn @robzangardi,7154,-1,https://instagram.fsvg1-1.fna.fbcdn.net/v/t39.30808-6/361660550_18402386326037720_7783821800119785221_n.jpg?stp=dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fsvg1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=g-5NQWoy8gAAX9XdkTr&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfBSxw0YNQxvPjG3vLhx8aqvoZiDdcE58AAOmXMDYid6UA&oe=64E1DE16&_nc_sid=bc0c2c,False,7153,,jlo,Jennifer Lopez,Artist,752,250638167,1342
9,2023 Jul 18 04:27:15,https://www.instagram.com/p/Cu0mlRQRMF6/,One year since our Midnight Trip To Vegas … 🤍♠️❤️ Go to On The JLo for a special surprise… #ThisIsMeNow,11242,745633,https://instagram.fsvg1-1.fna.fbcdn.net/v/t39.30808-6/361653171_18401308249037720_5878068610143271432_n.jpg?stp=c0.180.1440.1440a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fsvg1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=azx8NRtXtJwAX-QkW6W&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfAYOpm2xWBelxfEfmyc89tE6JzGcwqdRB5RKJ46eV548A&oe=64E072DC&_nc_sid=bc0c2c,False,756875,ThisIsMeNow,jlo,Jennifer Lopez,Artist,752,250638167,1342
